
42,42,2740,0,2,456,98.0A70.0A-1.0A-1.0,68.0A127.0A-1.0A-1.0,31.0A39.0A-1.0A-1.0,65.0A50.0A-1.0A-1.0,,42,UP,,42,0,false,-1.0
43,43,2740,0,2,348,126.0A-1.0A-1.0A74.0,115.0A-1.0A-1.0A56.0,19.0A-1.0A-1.0A24.0,64.0A-1.0A-1.0A47.0,,43,RIGHT,,43,20,false,-1.0
44,44,2740,0,2,153,-1.0A126.0A-1.0A142.0,-1.0A99.0A-1.0A136.0,-1.0A3.0A-1.0A55.0,-1.0A56.0A-1.0A96.0,,44,UP,,44,20,false,-1.0
45,45,2760,0,2,165,142.0A109.0A109.0A-1.0,124.0A87.0A119.0A-1.0,67.0A3.0A31.0A-1.0,107.0A50.0A82.0A-1.0,,45,UP,,45,0,false,-1.0
46,46,2760,0,2,153,-1.0A69.0A94.0A-1.0,-1.0A99.0A72.0A-1.0,-1.0A15.0A40.0A-1.0,-1.0A88.0A61.0A-1.0,,46,DOWN,,46,0,false,-1.0
47,47,2760,0,2,348,-1.0A-1.0A93.0A82.0,-1.0A-1.0A128.0A56.0,-1.0A-1.0A51.0A24.0,-1.0A-1.0A47.0A53.0,,47,DOWN,,47,10,true,-1.0
48,48,2760,0,2,456,-1.0A69.0A117.0A-1.0,-1.0A127.0A116.0A-1.0,-1.0A39.0A48.0A-1.0,-1.0A77.0A29.0A-1.0,,48,DOWN,,48,10,true,-1.0
49,49,2770,0,1,753,-1.0A-1.0A-1.0A-1.0,67.0A117.0A153.0A-1.0,3.0A64.0A15.0A-1.0,-1.0A-1.0A-1.0A-1.0,,49,DOWN,,49,0,false,-1.0
51,51,2770,0,1,1020,-1.0A-1.0A-1.0A117.0,-1.0A153.0A-1.0A139.0,-1.0A67.0A-1.0A15.0,-1.0A-1.0A-1.0A-1.0,,51,LEFT,,51,30,false,-1.0
52,52,2770,0,1,1008,-1.0A-1.0A-1.0A93.0,-1.0A-1.0A153.0A127.0,-1.0A-1.0A39.0A3.0,-1.0A-1.0A-1.0A-1.0,,52,UP,,52,60,false,0.3
52,52,2800,0,1,996,69.0A-1.0A-1.0A93.0,115.0A-1.0A-1.0A153.0,3.0A-1.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,52,UP,,52,30,false,-1.0
59,59,140,0,3,165,105.0A-1.0A41.0A65.0,35.0A-1.0A107.0A27.0,3.0A-1.0A3.0A3.0,-1.0A-1.0A-1.0A-1.0,,59,UP,,59,190,false,0.95
60,60,310,0,3,153,-1.0A61.0A61.0A-1.0,-1.0A99.0A72.0A-1.0,-1.0A3.0A3.0A-1.0,-1.0A27.0A67.0A-1.0,,60,UP,,60,80,true,-1.0
60,60,330,0,3,165,101.0A61.0A37.0A-1.0,124.0A87.0A119.0A-1.0,55.0A15.0A3.0A-1.0,85.0A57.0A21.0A-1.0,,60,DOWN,,60,90,true,-1.0
61,61,390,0,2,691,-1.0A-1.0A-1.0A-1.0,-1.0A140.0A47.0A72.0,-1.0A59.0A3.0A24.0,-1.0A-1.0A-1.0A-1.0,,61,UP,,61,60,false,0.3
64,64,740,0,1,348,-1.0A-1.0A41.0A90.0,-1.0A-1.0A108.0A56.0,-1.0A-1.0A3.0A24.0,-1.0A-1.0A-1.0A-1.0,,64,UP,,64,70,false,0.35
64,64,770,0,1,456,-1.0A29.0A65.0A-1.0,-1.0A127.0A96.0A-1.0,-1.0A35.0A3.0A-1.0,-1.0A-1.0A-1.0A-1.0,,64,DOWN,,64,50,false,0.25
64,64,810,0,1,691,-1.0A17.0A85.0A82.0,-1.0A140.0A131.0A72.0,-1.0A59.0A15.0A24.0,-1.0A-1.0A-1.0A-1.0,,64,LEFT,,64,70,false,0.35
64,64,820,0,1,753,52.0A-1.0A72.0A32.0,67.0A-1.0A47.0A115.0,3.0A-1.0A3.0A59.0,-1.0A-1.0A-1.0A-1.0,,64,UP,,64,90,false,0.45
65,65,910,0,1,399,36.0A17.0A-1.0A-1.0,31.0A133.0A-1.0A-1.0,3.0A68.0A-1.0A-1.0,-1.0A-1.0A-1.0A-1.0,,65,LEFT,,65,70,false,0.35
66,66,950,0,1,237,-1.0A44.0A-1.0A18.0,-1.0A15.0A-1.0A47.0,-1.0A3.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,66,LEFT,,66,390,false,1.0
66,66,980,0,1,225,18.0A-1.0A54.0A78.0,35.0A-1.0A107.0A107.0,3.0A-1.0A3.0A3.0,-1.0A-1.0A-1.0A-1.0,,66,UP,,66,360,false,1.0
67,67,1340,0,1,399,-1.0A-1.0A-1.0A-1.0,-1.0A133.0A83.0A-1.0,-1.0A68.0A39.0A-1.0,-1.0A84.0A2.0A-1.0,,67,UP,,67,400,false,1.0
68,68,1740,0,1,540,-1.0A-1.0A-1.0A-1.0,-1.0A-1.0A71.0A119.0,-1.0A-1.0A27.0A35.0,-1.0A-1.0A66.0A9.0,,68,DOWN,,68,30,false,-1.0
68,68,1740,0,1,753,-1.0A109.0A94.0A46.0,-1.0A153.0A47.0A143.0,-1.0A40.0A3.0A59.0,-1.0A30.0A121.0A73.0,,68,UP,,68,60,false,0.3
69,69,1770,0,1,883,-1.0A-1.0A94.0A70.0,-1.0A-1.0A35.0A83.0,-1.0A-1.0A3.0A3.0,-1.0A-1.0A108.0A108.0,,69,DOWN,,69,200,false,1.0
70,70,1800,0,1,1020,-1.0A134.0A-1.0A70.0,-1.0A23.0A-1.0A63.0,-1.0A3.0A-1.0A3.0,-1.0A142.0A-1.0A101.0,,70,DOWN,,70,200,false,1.0
71,71,1970,0,1,1271,-1.0A-1.0A-1.0A-1.0,153.0A-1.0A-1.0A153.0,3.0A-1.0A-1.0A3.0,74.0A-1.0A-1.0A98.0,,71,RIGHT,,71,120,false,0.6
74,74,2110,0,1,1211,-1.0A-1.0A-1.0A-1.0,153.0A-1.0A-1.0A153.0,27.0A-1.0A-1.0A67.0,38.0A-1.0A-1.0A78.0,,74,RIGHT,,74,0,false,-1.0
74,74,2110,0,1,810,-1.0A-1.0A-1.0A-1.0,153.0A153.0A-1.0A-1.0,52.0A3.0A-1.0A-1.0,85.0A70.0A-1.0A-1.0,,74,UP,,74,0,false,-1.0
75,75,2110,0,1,691,-1.0A-1.0A-1.0A-1.0,153.0A153.0A-1.0A153.0,59.0A59.0A-1.0A40.0,69.0A102.0A-1.0A67.0,,75,UP,,75,0,false,-1.0
76,76,2110,0,1,480,32.0A71.0A47.0A-1.0,153.0A153.0A153.0A-1.0,11.0A47.0A59.0A-1.0,-1.0A-1.0A-1.0A-1.0,,76,LEFT,,76,10,false,-1.0
80,80,170,0,3,810,66.0A90.0A-1.0A-1.0,79.0A119.0A-1.0A-1.0,3.0A3.0A-1.0A-1.0,-1.0A-1.0A-1.0A-1.0,,80,LEFT,,80,40,false,0.2
82,82,250,0,2,1223,-1.0A-1.0A-1.0A-1.0,-1.0A75.0A-1.0A131.0,-1.0A3.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,82,UP,,82,180,false,0.9
82,82,440,0,2,972,-1.0A-1.0A128.0A56.0,-1.0A-1.0A111.0A127.0,-1.0A-1.0A3.0A3.0,-1.0A-1.0A-1.0A-1.0,,82,UP,,82,60,false,0.3
83,83,520,0,2,936,32.0A-1.0A-1.0A102.0,91.0A-1.0A-1.0A139.0,15.0A-1.0A-1.0A39.0,-1.0A-1.0A-1.0A-1.0,,83,DOWN,,83,70,false,0.35
83,83,620,0,2,1271,32.0A72.0A-1.0A-1.0,59.0A27.0A-1.0A-1.0,3.0A3.0A-1.0A-1.0,-1.0A-1.0A-1.0A-1.0,,83,LEFT,,83,400,false,1.0
83,83,1020,0,2,1008,-1.0A-1.0A-1.0A-1.0,-1.0A-1.0A153.0A127.0,-1.0A-1.0A3.0A3.0,-1.0A-1.0A80.0A2.0,,83,DOWN,,83,50,false,0.25
83,83,1070,0,2,1271,-1.0A-1.0A-1.0A-1.0,-1.0A143.0A-1.0A153.0,-1.0A55.0A-1.0A51.0,-1.0A54.0A-1.0A68.0,,83,UP,,83,30,false,-1.0
83,83,1100,0,2,883,26.0A-1.0A-1.0A98.0,79.0A-1.0A-1.0A151.0,3.0A-1.0A-1.0A3.0,16.0A-1.0A-1.0A88.0,,83,RIGHT,,83,420,false,1.0
84,84,1120,0,2,753,2.0A118.0A-1.0A92.0,67.0A92.0A-1.0A115.0,19.0A28.0A-1.0A59.0,43.0A10.0A-1.0A91.0,,84,RIGHT,,84,400,false,1.0
85,85,1520,0,2,691,118.0A109.0A109.0A-1.0,67.0A115.0A153.0A-1.0,3.0A59.0A15.0A-1.0,39.0A87.0A95.0A-1.0,,85,DOWN,,85,0,false,-1.0
85,85,1520,0,2,810,-1.0A85.0A85.0A-1.0,-1.0A151.0A151.0A-1.0,-1.0A3.0A27.0A-1.0,-1.0A101.0A89.0A-1.0,,85,UP,,85,0,false,-1.0
86,86,1520,0,2,936,-1.0A61.0A-1.0A125.0,-1.0A139.0A-1.0A153.0,-1.0A15.0A-1.0A55.0,-1.0A83.0A-1.0A99.0,,86,DOWN,,86,0,false,-1.0
87,87,1520,0,2,948,-1.0A37.0A85.0A-1.0,-1.0A127.0A153.0A-1.0,-1.0A15.0A3.0A-1.0,-1.0A65.0A77.0A-1.0,,87,UP,,87,0,true,-1.0
88,88,1520,0,2,960,73.0A13.0A-1.0A-1.0,115.0A151.0A-1.0A-1.0,3.0A15.0A-1.0A-1.0,-1.0A-1.0A-1.0A-1.0,,88,LEFT,,88,0,true,-1.0
90,90,1520,0,1,516,115.0A107.0A-1.0A11.0,67.0A67.0A-1.0A103.0,11.0A23.0A-1.0A47.0,-1.0A-1.0A-1.0A-1.0,,90,LEFT,,90,0,false,-1.0
94,94,10,0,3,456,-1.0A-1.0A-1.0A-1.0,43.0A-1.0A71.0A-1.0,3.0A-1.0A3.0A-1.0,-1.0A-1.0A-1.0A-1.0,,94,UP,,94,70,false,0.35
96,96,80,0,3,153,-1.0A-1.0A-1.0A-1.0,-1.0A47.0A-1.0A15.0,-1.0A3.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,96,UP,,96,190,false,0.95
97,97,270,0,3,348,-1.0A-1.0A21.0A66.0,-1.0A-1.0A83.0A56.0,-1.0A-1.0A15.0A24.0,-1.0A-1.0A31.0A100.0,,97,DOWN,,97,110,true,-1.0
97,97,310,0,2,386,-1.0A-1.0A-1.0A-1.0,-1.0A55.0A79.0A-1.0,-1.0A3.0A35.0A-1.0,-1.0A-1.0A-1.0A-1.0,,97,UP,,97,240,false,1.0
97,97,380,0,2,225,125.0A85.0A-1.0A85.0,35.0A27.0A-1.0A107.0,3.0A3.0A-1.0A3.0,-1.0A-1.0A-1.0A-1.0,,97,DOWN,,97,210,false,1.0
98,98,550,0,2,237,-1.0A-1.0A53.0A53.0,-1.0A-1.0A99.0A147.0,-1.0A-1.0A3.0A3.0,-1.0A-1.0A59.0A59.0,,98,DOWN,,98,80,true,-1.0
98,98,590,0,2,399,-1.0A66.0A21.0A-1.0,-1.0A108.0A83.0A-1.0,-1.0A40.0A3.0A-1.0,-1.0A56.0A51.0A-1.0,,98,DOWN,,98,70,true,-1.0
