
25,25,730,284,0,71,{UP=2147483647@RIGHT=103@DOWN=79@LEFT=103@NEUTRAL=2147483647},120,DOWN,{UP=2147483647@RIGHT=99@DOWN=99@LEFT=123@NEUTRAL=2147483647},{UP=2147483647@RIGHT=111@DOWN=135@LEFT=159@NEUTRAL=2147483647},80,DOWN,{UP=2147483647@RIGHT=79@DOWN=103@LEFT=127@NEUTRAL=2147483647},40,DOWN,,25,DOWN,,25,-6147
37,37,1270,422,0,0,{UP=133@RIGHT=77@DOWN=77@LEFT=2147483647@NEUTRAL=2147483647},78,RIGHT,{UP=127@RIGHT=71@DOWN=71@LEFT=2147483647@NEUTRAL=2147483647},{UP=67@RIGHT=67@DOWN=115@LEFT=2147483647@NEUTRAL=2147483647},98,RIGHT,{UP=125@RIGHT=69@DOWN=25@LEFT=2147483647@NEUTRAL=2147483647},52,RIGHT,,37,RIGHT,,37,-1297
38,38,1290,446,0,0,{UP=103@RIGHT=2147483647@DOWN=29@LEFT=2147483647@NEUTRAL=2147483647},30,UP,{UP=97@RIGHT=2147483647@DOWN=23@LEFT=2147483647@NEUTRAL=2147483647},{UP=43@RIGHT=2147483647@DOWN=139@LEFT=2147483647@NEUTRAL=2147483647},74,UP,{UP=107@RIGHT=2147483647@DOWN=33@LEFT=2147483647@NEUTRAL=2147483647},16,UP,,38,DOWN,,38,-1440
32,32,830,340,0,15,{UP=2147483647@RIGHT=2147483647@DOWN=83@LEFT=139@NEUTRAL=2147483647},108,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=83@LEFT=139@NEUTRAL=2147483647},{UP=2147483647@RIGHT=2147483647@DOWN=107@LEFT=163@NEUTRAL=2147483647},24,RIGHT,{UP=2147483647@RIGHT=2147483647@DOWN=95@LEFT=151@NEUTRAL=2147483647},12,RIGHT,,32,DOWN,,32,-5779
34,34,870,359,0,0,{UP=2147483647@RIGHT=90@DOWN=90@LEFT=151@NEUTRAL=2147483647},141,DOWN,{UP=2147483647@RIGHT=107@DOWN=107@LEFT=155@NEUTRAL=2147483647},{UP=2147483647@RIGHT=95@DOWN=95@LEFT=156@NEUTRAL=2147483647},5,DOWN,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,34,RIGHT,,34,-5763
32,32,1180,384,0,179,{UP=140@RIGHT=151@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},117,LEFT,{UP=132@RIGHT=143@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},{UP=145@RIGHT=119@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},96,LEFT,{UP=87@RIGHT=81@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},83,LEFT,,32,UP,,32,-3054
44,44,3520,979,0,0,{UP=2147483647@RIGHT=2147483647@DOWN=88@LEFT=112@NEUTRAL=2147483647},127,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=107@LEFT=107@NEUTRAL=2147483647},{UP=2147483647@RIGHT=2147483647@DOWN=107@LEFT=83@NEUTRAL=2147483647},59,LEFT,{UP=2147483647@RIGHT=2147483647@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},2147483647,NEUTRAL,,44,DOWN,,44,-1339

52,52,980,364,0,0,{UP=108@RIGHT=2147483647@DOWN=4@LEFT=2147483647@NEUTRAL=2147483647},91,DOWN,{UP=97@RIGHT=2147483647@DOWN=23@LEFT=2147483647@NEUTRAL=2147483647},{UP=145@RIGHT=2147483647@DOWN=71@LEFT=2147483647@NEUTRAL=2147483647},67,DOWN,{UP=83@RIGHT=2147483647@DOWN=75@LEFT=2147483647@NEUTRAL=2147483647},71,DOWN,,52,UP,,52,-4046
55,55,1010,376,0,0,{UP=108@RIGHT=92@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},91,DOWN,{UP=115@RIGHT=85@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},{UP=163@RIGHT=133@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},55,DOWN,{UP=69@RIGHT=98@DOWN=2147483647@LEFT=2147483647@NEUTRAL=2147483647},57,DOWN,,55,RIGHT,,55,-3975
