
d:[99,99,1000,542,52,42,514,false,2] S:[,99,RIGHT] ->:[,99,90,0]
d:[100,100,1030,554,40,42,418,false,2] S:[,100,LEFT] ->:[,100,220,0]
d:[101,101,1060,566,28,18,396,false,2] S:[,101,LEFT] ->:[,101,190,0]
d:[102,102,1090,578,16,18,280,false,2] S:[,102,LEFT] ->:[,102,160,0]
d:[103,103,40,72,16,2147483647,-1,false,2] S:[,103,UP] ->:[,103,170,0]
d:[104,104,70,84,28,2147483647,-1,false,2] S:[,104,UP] ->:[,104,170,0]
d:[105,105,210,136,73,54,482,false,2] S:[,105,RIGHT] ->:[,105,60,0]
d:[106,106,210,148,85,30,417,false,2] S:[,106,LEFT] ->:[,106,90,0]
d:[107,107,240,160,76,30,371,false,2] S:[,107,LEFT] ->:[,107,90,0]
d:[108,108,270,172,64,6,278,false,2] S:[,108,LEFT] ->:[,108,90,0]
d:[109,109,300,184,52,18,183,false,2] S:[,109,LEFT] ->:[,109,90,0]
d:[110,110,330,196,40,26,254,false,2] S:[,110,LEFT] ->:[,110,220,0]
d:[111,111,360,208,28,46,179,false,2] S:[,111,RIGHT] ->:[,111,190,0]
d:[112,112,390,220,16,54,39,false,2] S:[,112,RIGHT] ->:[,112,160,0]
d:[116,116,560,470,60,2147483647,-1,false,1] S:[,116,UP] ->:[,116,90,0]
d:[114,114,160,48,76,130,506,false,3] S:[,114,DOWN] ->:[,114,320,0]
d:[115,115,250,84,40,106,738,false,3] S:[,115,DOWN] ->:[,115,260,0]
d:[116,116,280,96,28,82,726,false,3] S:[,116,DOWN] ->:[,116,260,0]
d:[117,117,480,160,104,50,718,true,3] S:[,117,RIGHT] ->:[,117,70,0]
d:[118,118,510,172,116,44,724,true,3] S:[,118,RIGHT] ->:[,118,170,0]
d:[119,119,540,184,128,58,772,true,3] S:[,119,RIGHT] ->:[,119,140,0]
d:[120,120,550,196,128,40,796,true,3] S:[,120,RIGHT] ->:[,120,130,0]
d:[121,121,220,71,88,115,509,false,3] S:[,121,DOWN] ->:[,121,150,0]
d:[122,122,250,83,76,115,559,false,3] S:[,122,DOWN] ->:[,122,320,0]
d:[123,123,340,119,40,91,723,false,3] S:[,123,DOWN] ->:[,123,260,0]
d:[124,124,370,131,28,67,783,false,3] S:[,124,DOWN] ->:[,124,260,0]
d:[125,125,570,195,104,35,823,true,3] S:[,125,RIGHT] ->:[,125,150,0]
d:[126,126,600,207,116,29,817,true,3] S:[,126,RIGHT] ->:[,126,120,0]
d:[127,127,630,219,128,47,811,true,3] S:[,127,RIGHT] ->:[,127,90,0]
d:[131,131,750,439,56,2147483647,-1,false,2] S:[,131,UP] ->:[,131,130,0]
d:[131,131,820,467,52,59,497,false,2] S:[,131,RIGHT] ->:[,131,90,0]
d:[131,131,850,479,40,69,485,false,2] S:[,131,RIGHT] ->:[,131,220,0]
d:[131,131,880,491,28,53,503,false,2] S:[,131,RIGHT] ->:[,131,190,0]
d:[132,132,910,503,16,53,515,false,2] S:[,132,RIGHT] ->:[,132,160,0]
d:[134,134,1070,567,76,29,375,false,2] S:[,134,LEFT] ->:[,134,60,0]
d:[135,135,1070,579,64,5,273,false,2] S:[,135,LEFT] ->:[,135,90,0]
d:[136,136,1100,591,52,19,208,false,2] S:[,136,LEFT] ->:[,136,90,0]
d:[136,136,1130,603,40,43,106,false,2] S:[,136,RIGHT] ->:[,136,220,0]
d:[137,137,1160,615,28,53,50,false,2] S:[,137,RIGHT] ->:[,137,190,0]
d:[138,138,1190,627,16,49,293,true,2] S:[,138,RIGHT] ->:[,138,160,0]
d:[139,139,150,68,40,110,578,false,3] S:[,139,DOWN] ->:[,139,290,0]
d:[140,140,240,104,40,86,726,false,3] S:[,140,DOWN] ->:[,140,230,0]
d:[141,141,270,116,28,62,804,false,3] S:[,141,DOWN] ->:[,141,210,0]
d:[145,145,480,204,72,42,1159,true,3] S:[,145,RIGHT] ->:[,145,260,0]
d:[145,145,480,216,60,60,1271,true,3] S:[,145,RIGHT] ->:[,145,280,0]
d:[145,145,510,228,48,75,672,true,3] S:[,145,RIGHT] ->:[,145,250,0]
d:[148,148,770,535,56,2147483647,-1,false,2] S:[,148,UP] ->:[,148,320,0]
d:[149,149,1100,716,93,2147483647,-1,false,1] S:[,149,UP] ->:[,149,100,0]
d:[149,149,1160,740,69,42,498,false,1] S:[,149,RIGHT] ->:[,149,80,0]
d:[149,149,1190,752,57,66,486,false,1] S:[,149,RIGHT] ->:[,149,220,0]
d:[149,149,1200,777,32,17,461,false,1] S:[,149,RIGHT] ->:[,149,240,0]
d:[150,150,1240,793,16,37,358,false,1] S:[,150,LEFT] ->:[,150,230,0]
d:[151,151,1410,845,-1,29,362,true,1] S:[,151,RIGHT] ->:[,151,80,0]
d:[152,152,1440,857,-1,33,368,true,1] S:[,152,RIGHT] ->:[,152,50,0]
d:[153,153,20,65,84,43,429,false,3] S:[,153,UP] ->:[,153,70,0]
d:[154,154,30,101,60,59,610,false,3] S:[,154,DOWN] ->:[,154,290,0]
d:[155,155,60,113,48,61,677,false,3] S:[,155,DOWN] ->:[,155,280,0]
d:[156,156,90,125,36,37,752,false,3] S:[,156,DOWN] ->:[,156,250,0]
d:[157,157,320,201,92,7,903,true,3] S:[,157,RIGHT] ->:[,157,50,0]
d:[159,159,340,225,84,43,785,true,3] S:[,159,RIGHT] ->:[,159,70,0]
d:[160,160,370,237,72,54,1156,true,3] S:[,160,RIGHT] ->:[,160,70,0]
d:[161,161,380,249,60,48,1211,true,3] S:[,161,RIGHT] ->:[,161,90,0]
d:[161,161,410,261,48,42,1217,true,3] S:[,161,RIGHT] ->:[,161,230,0]
d:[162,162,440,273,36,36,1223,true,3] S:[,162,RIGHT] ->:[,162,230,0]
d:[163,163,470,285,24,54,1229,true,3] S:[,163,RIGHT] ->:[,163,290,0]
d:[164,164,640,337,128,15,1226,true,3] S:[,164,RIGHT] ->:[,164,140,0]
d:[165,165,670,349,140,3,1175,true,3] S:[,165,RIGHT] ->:[,165,110,0]
d:[169,169,850,571,52,2147483647,-1,false,2] S:[,169,UP] ->:[,169,210,0]
d:[169,169,880,583,40,2147483647,-1,false,2] S:[,169,UP] ->:[,169,210,0]
d:[171,171,1120,684,128,2147483647,-1,false,1] S:[,171,UP] ->:[,171,50,0]
d:[169,169,190,74,28,92,633,false,3] S:[,169,DOWN] ->:[,169,320,0]
d:[170,170,310,122,40,68,851,false,3] S:[,170,DOWN] ->:[,170,230,0]
d:[171,171,340,134,28,44,898,false,3] S:[,171,DOWN] ->:[,171,230,0]
d:[172,172,510,186,92,18,1002,true,3] S:[,172,RIGHT] ->:[,172,290,0]
d:[173,173,540,198,96,12,996,true,3] S:[,173,RIGHT] ->:[,173,670,0]
d:[174,174,570,210,84,6,990,true,3] S:[,174,RIGHT] ->:[,174,670,0]
d:[175,175,800,222,72,4,980,true,3] S:[,175,RIGHT] ->:[,175,460,0]
d:[176,176,1210,234,60,58,891,true,3] S:[,176,RIGHT] ->:[,176,50,0]
d:[177,177,1240,246,48,64,915,true,3] S:[,177,RIGHT] ->:[,177,180,0]
d:[178,178,1260,258,36,74,1022,true,3] S:[,178,RIGHT] ->:[,178,160,0]
d:[179,179,1260,270,24,77,485,false,3] S:[,179,RIGHT] ->:[,179,160,0]
d:[183,183,1440,636,52,2147483647,-1,false,2] S:[,183,UP] ->:[,183,210,0]
